Feature,Importance
Category,0.024627473136197738
Rating,0.030820989547082445
Reviews,0.7890314363400753
Size,0.07471487334378872
Type,0.013665889125165614
Price,0.01156579541633978
Content Rating,0.006669657974438263
Year,0.026109462257506415
Month,0.022794422859405684
